state_label,configuration,term,J,parity,energy_cm,uncertainty_cm,reference
5s2 1S0,5s2,1S,0,even,0.000,0,L15350
5s5p 3P0,5s.5p,3P,0,odd,14317.507,0.001,L15350
5s5p 3P1,5s.5p,3P,1,odd,14504.334,0.003,L15350
5s5p 3P2,5s.5p,3P,2,odd,14898.545,0.004,L15350
5s4d 3D1,5s.4d,3D,1,even,18159.040,0.003,L15350
5s4d 3D2,5s.4d,3D,2,even,18218.784,0.003,L15350
5s4d 3D3,5s.4d,3D,3,even,18319.261,0.004,L15350
5s4d 1D2,5s.4d,1D,2,even,20149.685,0.003,L15350
5s5p 1P1,5s.5p,1P,1,odd,21698.452,0.004,L15350
5s6s 3S1,5s.6s,3S,1,even,29038.773,0.004,L15350
5s6s 1S0,5s.6s,1S,0,even,30591.825,0.016,L15350
4d5p 3F2,4d.5p,3F,2,odd,33266.851,0.003,L15350
4d5p 3F3,4d.5p,3F,3,odd,33589.709,0.007,L15350
4d5p 1D2,4d.5p,1D,2,odd,33826.899,0.003,L15350
5s6p 3P0,5s.6p,3P,0,odd,33853.490,0.006,L15350
5s6p 3P1,5s.6p,3P,1,odd,33868.317,0.006,L15350
4d5p 3F4,4d.5p,3F,4,odd,33919.315,0.006,L15350
5s6p 3P2,5s.6p,3P,2,odd,33973.065,0.004,L15350
5s6p 1P1,5s.6p,1P,1,odd,34098.404,0.006,L15350
5s5d 1D2,5s.5d,1D,2,even,34727.447,0.005,L15350
5s5d 3D1,5s.5d,3D,1,even,35006.908,0.007,L15350
5s5d 3D2,5s.5d,3D,2,even,35021.989,0.012,L15350
5s5d 3D3,5s.5d,3D,3,even,35045.019,0.008,L15350
5p2 3P0,5p2,3P,0,even,35193.442,0.019,L15350
5p2 3P1,5p2,3P,1,even,35400.105,0.005,L15350
5p2 3P2,5p2,3P,2,even,35674.637,0.008,L15350
4d5p 3D1,4d.5p,3D,1,odd,36264.151,0.008,L15350
4d5p 3D2,4d.5p,3D,2,odd,36381.746,0.008,L15350
4d5p 3D3,4d.5p,3D,3,odd,36559.492,0.006,L15350
4d2 1D2,4d2,1D,2,even,36960.842,0.005,"L15350,L9352"
5p2 1S0,5p2,1S,0,even,37160.234,0.005,L15350
4d5p 3P0,4d.5p,3P,0,odd,37292.074,0.007,L15350
4d5p 3P1,4d.5p,3P,1,odd,37302.731,0.006,L15350
4d5p 3P2,4d.5p,3P,2,odd,37336.591,0.004,L15350
5s7s 3S1,5s.7s,3S,1,even,37424.675,0.005,L15350
4d5p 1F3,4d.5p,1F,3,odd,38007.742,0.016,L15350
5s7s 1S0,5s.7s,1S,0,even,38444.013,0.007,L15350
5s4f 3F2,5s.4f,3F,2,odd,38750.420,0.007,L15350
5s4f 3F3,5s.4f,3F,3,odd,38752.410,0.007,L15350
5s4f 3F4,5s.4f,3F,4,odd,38755.175,0.008,L15350
5s7p 1P1,5s.7p,1P,1,odd,38906.858,0.010,L15350
5s7p 3P0,5s.7p,3P,0,odd,39411.669,0.008,L15350
5s7p 3P1,5s.7p,3P,1,odd,39426.442,0.008,L15350
5s7p 3P2,5s.7p,3P,2,odd,39457.383,0.008,L15350
5s4f 1F3,5s.4f,1F,3,odd,39539.013,0.007,L15350
5s6d 3D1,5s.6d,3D,1,even,39685.830,0.017,L15350
5s6d 3D2,5s.6d,3D,2,even,39690.802,0.009,L15350
5s6d 3D3,5s.6d,3D,3,even,39703.109,0.009,L15350
5s6d 1D2,5s.6d,1D,2,even,39733.067,0.009,L15350
5s8s 3S1,5s.8s,3S,1,even,40761.372,0.020,L15350
5s8s 1S0,5s.8s,1S,0,even,41052.324,0.019,L15350
4d5p 1P1,4d.5p,1P,1,odd,41172.054,0.014,L15350
5s5f 3F2,5s.5f,3F,2,odd,41364.602,0.018,L15350
5s5f 3F3,5s.5f,3F,3,odd,41365.482,0.023,L15350
5s5f 3F4,5s.5f,3F,4,odd,41366.67,0.23,L15350
5s5f 1F3,5s.5f,1F,3,odd,41519.04,0.19,L15350
5s8p 3P0,5s.8p,3P,0,odd,41712.05,0.05,L4542
5s8p 3P1,5s.8p,3P,1,odd,41719.71,0.05,L4542
5s8p 3P2,5s.8p,3P,2,odd,41735.98,0.05,L4542
5s7d 1D2,5s.7d,1D,2,even,41831.448,0.021,L15350
5s7d 3D1,5s.7d,3D,1,even,41864.354,0.008,L15350
5s7d 3D2,5s.7d,3D,2,even,41869.270,0.010,L15350
5s7d 3D3,5s.7d,3D,3,even,41874.859,0.010,L15350
5s9s 3S1,5s.9s,3S,1,even,42451.16,0.35,L15350
5s8p 1P1,5s.8p,1P,1,odd,42462.136,0.014,L15350
5s9s 1S0,5s.9s,1S,0,even,42596.572,0.022,L15350
5s6f 3F2,5s.6f,3F,2,odd,42777.023,0.022,L15350
5s6f 3F3,5s.6f,3F,3,odd,42777.547,0.018,L15350
5s6f 3F4,5s.6f,3F,4,odd,42778.121,0.009,L15350
5s6f 1F3,5s.6f,1F,3,odd,42839.589,0.026,L15350
5s9p 3P0,5s.9p,3P,0,odd,42985.86,0.07,L4542
5s9p 3P1,5s.9p,3P,1,odd,42990.26,0.07,L4542
5s9p 3P2,5s.9p,3P,2,odd,42999.79,0.07,L4542
5s8d 1D2,5s.8d,1D,2,even,43021.058,0.023,L15350
5s8d 3D2,5s.8d,3D,2,even,43070.268,0.009,L15350
5s8d 3D3,5s.8d,3D,3,even,43074.728,0.010,L15350
5s9p 1P1,5s.9p,1P,1,odd,43328.04,0.07,L15350
5s10s 3S1,5s.10s,3S,1,even,43427.44,0.19,L15350
5s10s 1S0,5s.10s,1S,0,even,43512.1658,0.0010,L5644
5s7f 3F2,5s.7f,3F,2,odd,43623.896,0.026,L15350
5s7f 3F3,5s.7f,3F,3,odd,43624.205,0.028,L15350
5s7f 3F4,5s.7f,3F,4,odd,43624.479,0.009,L15350
5s7f 1F3,5s.7f,1F,3,odd,43656.219,0.028,L15350
5s9d 1D2,5s.9d,1D,2,even,43755.755,0.025,L15350
5s10p 3P0,5s.10p,3P,0,odd,43758.65,0.07,L4542
5s10p 3P1,5s.10p,3P,1,odd,43761.47,0.07,L4542
5s10p 3P2,5s.10p,3P,2,odd,43767.58,0.07,L4542
5s9d 3D2,5s.9d,3D,2,even,43804.890,0.025,L15350
5s10p 1P1,5s.10p,1P,1,odd,43938.201,0.025,L15350
5s11s 3S1,5s.11s,3S,1,even,44043.35,0.20,L15350
5s11s 1S0,5s.11s,1S,0,even,44097.1224,0.0010,L5644
5s8f 3F2,5s.8f,3F,2,odd,44170.80,0.03,L15350
5s8f 3F3,5s.8f,3F,3,odd,44170.99,0.03,L15350
5s8f 3F4,5s.8f,3F,4,odd,44171.32,0.03,L15350
5s8f 1F3,5s.8f,1F,3,odd,44189.889,0.029,L15350
5s10d 1D2,5s.10d,1D,2,even,44239.4549,0.0010,L5644
5s11p 3P0,5s.11p,3P,0,odd,44262.70,0.07,L4542
5s11p 3P1,5s.11p,3P,1,odd,44264.52,0.07,L4542
5s11p 3P2,5s.11p,3P,2,odd,44268.72,0.07,L4542
5s10d 3D2,5s.10d,3D,2,even,44286.91,0.20,L9511
5s11p 1P1,5s.11p,1P,1,odd,44366.42,0.03,L15350
5s12s 3S1,5s.12s,3S,1,even,44456.25,0.21,L15350
5s12s 1S0,5s.12s,1S,0,even,44492.8348,0.0010,L5644
4d2 3P0,4d2,3P,0,even,44525.838,0.010,L15350
5s9f 3F2,5s.9f,3F,2,odd,44544.27,0.03,L15350
5s9f 3F3,5s.9f,3F,3,odd,44544.44,0.03,L15350
5s9f 3F4,5s.9f,3F,4,odd,44544.63,0.03,L15350
5s9f 1F3,5s.9f,1F,3,odd,44556.48,0.03,L15350
5s11d 1D2,5s.11d,1D,2,even,44578.6890,0.0010,L5644
4d2 3P1,4d2,3P,1,even,44595.920,0.009,L15350
5s12p 3P0,5s.12p,3P,0,odd,44609.51,0.04,L4542
5s12p 3P1,5s.12p,3P,1,odd,44610.85,0.04,L4542
5s12p 3P2,5s.12p,3P,2,odd,44613.78,0.04,L4542
5s11d 3D2,5s.11d,3D,2,even,44619.84,0.20,L9511
5s12p 1P1,5s.12p,1P,1,odd,44675.737,0.029,L15350
4d2 3P2,4d2,3P,2,even,44729.627,0.010,L15350
5s13s 3S1,5s.13s,3S,1,even,44747.65,0.15,L5578
5s13s 1S0,5s.13s,1S,0,even,44773.6707,0.0010,L5644
5s10f 3F2,5s.10f,3F,2,odd,44810.53,0.04,L15350
5s10f 3F3,5s.10f,3F,3,odd,44810.56,0.04,L15350
5s10f 3F4,5s.10f,3F,4,odd,44810.72,0.04,L15350
5s10f 1F3,5s.10f,1F,3,odd,44818.77,0.03,L15350
5s12d 1D2,5s.12d,1D,2,even,44829.6648,0.0010,L5644
5s12d 3D1,5s.12d,3D,1,even,44854.02,0.15,L5578
5s13p 3P0,5s.13p,3P,0,odd,44858.33,0.03,L4542
5s13p 3P1,5s.13p,3P,1,odd,44859.32,0.03,L4542
5s12d 3D2,5s.12d,3D,2,even,44860.06,0.15,L5578
5s13p 3P2,5s.13p,3P,2,odd,44861.46,0.03,L4542
5s12d 3D3,5s.12d,3D,3,even,44865.22,0.15,L5578
5s13p 1P1,5s.13p,1P,1,odd,44903.50,0.03,L15350
5s14s 3S1,5s.14s,3S,1,even,44960.22,0.15,L5578
5s14s 1S0,5s.14s,1S,0,even,44979.4540,0.0010,L5644
5s11f 3F2,5s.11f,3F,2,odd,45006.93,0.04,L15350
5s11f 3F3,5s.11f,3F,3,odd,45006.98,0.04,L15350
5s11f 3F4,5s.11f,3F,4,odd,45007.11,0.04,L15350
5s13d 1D2,5s.13d,1D,2,even,45012.0249,0.0010,L5644
5s11f 1F3,5s.11f,1F,3,odd,45012.82,0.03,L15350
5s13d 3D1,5s.13d,3D,1,even,45028.55,0.15,L5578
5s13d 3D2,5s.13d,3D,2,even,45036.95,0.15,L5578
5s14p 3P0,5s.14p,3P,0,odd,45043.18,0.02,L4542
5s13d 3D3,5s.13d,3D,3,even,45043.79,0.15,L5578
5s14p 3P1,5s.14p,3P,1,odd,45043.89,0.02,L4542
5s14p 3P2,5s.14p,3P,2,odd,45045.54,0.02,L4542
5s14p 1P1,5s.14p,1P,1,odd,45075.29,0.03,L15350
5s15s 3S1,5s.15s,3S,1,even,45120.41,0.15,L5578
5s15s 1S0,5s.15s,1S,0,even,45134.9242,0.0010,L5644
5s14d 1D2,5s.14d,1D,2,even,45153.2785,0.0010,L5644
5s12f 3F2,5s.12f,3F,2,odd,45155.92,0.04,L15350
5s12f 3F3,5s.12f,3F,3,odd,45156.01,0.04,L15350
5s12f 3F4,5s.12f,3F,4,odd,45156.08,0.04,L15350
5s14d 3D1,5s.14d,3D,1,even,45159.60,0.15,L5578
5s12f 1F3,5s.12f,1F,3,odd,45160.29,0.03,L15350
5s14d 3D2,5s.14d,3D,2,even,45171.49,0.15,L5578
5s14d 3D3,5s.14d,3D,3,even,45180.44,0.15,L5578
5s15p 3P0,5s.15p,3P,0,odd,45183.93,0.02,L4542
5s15p 3P1,5s.15p,3P,1,odd,45184.54,0.02,L4542
5s15p 3P2,5s.15p,3P,2,odd,45185.79,0.02,L4542
5s15p 1P1,5s.15p,1P,1,odd,45207.83,0.04,L15350
5s16s 3S1,5s.16s,3S,1,even,45243.88,0.15,L5578
5s16s 1S0,5s.16s,1S,0,even,45255.2295,0.0010,L5644
5s15d 3D1,5s.15d,3D,1,even,45260.84,0.15,L5578
5s15d 1D2,5s.15d,1D,2,even,45263.6196,0.0010,L5644
5s13f 3F3,5s.13f,3F,3,odd,45271.69,0.04,L15350
5s13f 3F2,5s.13f,3F,2,odd,45271.72,0.04,L15350
5s13f 3F4,5s.13f,3F,4,odd,45271.78,0.04,L15350
5s13f 1F3,5s.13f,1F,3,odd,45274.97,0.03,L15350
5s15d 3D2,5s.15d,3D,2,even,45276.65,0.15,L5578
5s15d 3D3,5s.15d,3D,3,even,45286.53,0.15,L5578
5s16p 3P1,5s.16p,3P,1,odd,45294.22,0.02,L4542
5s16p 3P2,5s.16p,3P,2,odd,45295.21,0.02,L4542
5s16p 1P1,5s.16p,1P,1,odd,45311.99,0.04,L15350
5s17s 3S1,5s.17s,3S,1,even,45341.28,0.15,L5578
5s16d 3D1,5s.16d,3D,1,even,45341.36,0.15,L5578
5s17s 1S0,5s.17s,1S,0,even,45350.2296,0.0010,L5644
5s16d 3D2,5s.16d,3D,2,even,45350.35,0.15,L5578
5s16d 1D2,5s.16d,1D,2,even,45362.1272,0.0010,L5644
5s14f 3F2,5s.14f,3F,2,odd,45363.22,0.04,L15350
5s14f 3F4,5s.14f,3F,4,odd,45363.35,0.04,L15350
5s14f 3F3,5s.14f,3F,3,odd,45363.43,0.04,L15350
5s14f 1F3,5s.14f,1F,3,odd,45365.90,0.03,L15350
5s16d 3D3,5s.16d,3D,3,even,45370.76,0.15,L5578
5s17p 3P1,5s.17p,3P,1,odd,45381.46,0.03,L4542
5s17p 3P2,5s.17p,3P,2,odd,45382.26,0.03,L4542
5s17p 1P1,5s.17p,1P,1,odd,45395.34,0.04,L15350
5s17d 3D1,5s.17d,3D,1,even,45414.43,0.15,L5578
5s18s 3S1,5s.18s,3S,1,even,45419.29,0.15,L5578
5s17d 3D2,5s.17d,3D,2,even,45420.84,0.15,L5578
5s18s 1S0,5s.18s,1S,0,even,45426.5505,0.0010,L5644
5s17d 1D2,5s.17d,1D,2,even,45433.2717,0.0010,L5644
5s15f 3F2,5s.15f,3F,2,odd,45437.09,0.04,L15350
5s15f 3F3,5s.15f,3F,3,odd,45437.10,0.04,L15350
5s15f 3F4,5s.15f,3F,4,odd,45437.11,0.04,L15350
5s17d 3D3,5s.17d,3D,3,even,45439.08,0.15,L5578
5s15f 1F3,5s.15f,1F,3,odd,45439.16,0.03,L15350
5s18p 3P1,5s.18p,3P,1,odd,45451.87,0.01,L4542
5s18p 3P2,5s.18p,3P,2,odd,45452.53,0.01,L4542
5s18p 1P1,5s.18p,1P,1,odd,45463.02,0.05,L15350
5s18d 3D1,5s.18d,3D,1,even,45475.35,0.15,L5578
5s18d 3D2,5s.18d,3D,2,even,45479.88,0.15,L5578
5s19s 3S1,5s.19s,3S,1,even,45482.89,0.01,L11277
5s19s 1S0,5s.19s,1S,0,even,45488.7860,0.0010,L5644
5s18d 1D2,5s.18d,1D,2,even,45492.6101,0.0010,L5644
5s18d 3D3,5s.18d,3D,3,even,45495.02,0.15,L5578
5s16f 3F2,5s.16f,3F,2,odd,45497.42,0.04,L15350
5s16f 3F3,5s.16f,3F,3,odd,45497.43,0.04,L15350
5s16f 3F4,5s.16f,3F,4,odd,45497.49,0.04,L15350
5s16f 1F3,5s.16f,1F,3,odd,45499.11,0.03,L15350
5s19p 3P1,5s.19p,3P,1,odd,45509.65,0.02,L4542
5s19p 3P2,5s.19p,3P,2,odd,45510.20,0.02,L4542
5s19p 1P1,5s.19p,1P,1,odd,45518.64,0.03,L15350
5s19d 3D1,5s.19d,3D,1,even,45527.10,0.15,L5578
5s19d 3D2,5s.19d,3D,2,even,45530.18,0.15,L5578
5s20s 3S1,5s.20s,3S,1,even,45535.32,0.01,L11277
